n 64
append hello 5
append data 4
append structure 8
append zxdfze 2342
append zneone 22
append baioe 34
append qeowq 535
append kzbeu 123
append weiorq 3412
append xnvc 343
append ejfief 2342
append neuwe 7
append cfdfe 121
append ererber 21
append rnaoase 233
append ttnzi 444
append ynosib 5587
append ufziodfu 9
append izxnd 12311
append oqiweru 663
append ppzdf 56
append pzsi 9
append asidf 10
append sseer 11
append dfiej 12
append ffzdf 13
append giagdg 41
append hhdifas 232
append jzijod 553
append kqekqr 897
append laise 27
append jaiseo 2839
append hello 5
append data 4
append structure 8
append zxdfze 2342
append zneone 22
append baioe 34
append qeowq 535
append kzbeu 123
append weiorq 3412
append xnvc 343
append ejfief 2342
append neuwe 7
append cfdfe 121
append ererber 21
append rnaoase 233
append ttnzi 444
append ynosib 5587
append ufziodfu 9
append izxnd 12311
append oqiweru 663
append ppzdf 56
append pzsi 9
append asidf 10
append sseer 11
append dfiej 12
append ffzdf 13
append giagdg 41
append hhdifas 232
append jzijod 553
append kqekqr 897
append laise 27
append jaiseo 2839
sort keys
print
sort values
print
